zone,datetime,carbonIntensity,type
AU-NSW,2026-09-06T11:00:00.000Z,668,forecast
AU-NSW,2026-09-06T12:00:00.000Z,687,forecast
AU-NSW,2026-09-06T13:00:00.000Z,694,forecast
AU-NSW,2026-09-06T14:00:00.000Z,713,forecast
IN-WE,2026-09-04T15:00:00.000Z,639,history
IN-WE,2026-09-04T16:00:00.000Z,647,history
IN-WE,2026-09-04T17:00:00.000Z,648,history
IN-WE,2026-09-04T18:00:00.000Z,650,history
IN-WE,2026-09-04T19:00:00.000Z,650,history
IN-WE,2026-09-04T20:00:00.000Z,654,history
IN-WE,2026-09-04T21:00:00.000Z,658,history
IN-WE,2026-09-04T22:00:00.000Z,662,history
IN-WE,2026-09-04T23:00:00.000Z,665,history
IN-WE,2026-09-05T00:00:00.000Z,660,history
IN-WE,2026-09-05T01:00:00.000Z,652,history
IN-WE,2026-09-05T02:00:00.000Z,613,history
IN-WE,2026-09-05T03:00:00.000Z,553,history
IN-WE,2026-09-05T04:00:00.000Z,508,history
IN-WE,2026-09-05T05:00:00.000Z,485,history
IN-WE,2026-09-05T06:00:00.000Z,475,history
IN-WE,2026-09-05T07:00:00.000Z,469,history
IN-WE,2026-09-05T08:00:00.000Z,471,history
IN-WE,2026-09-05T09:00:00.000Z,492,history
IN-WE,2026-09-05T10:00:00.000Z,518,history
IN-WE,2026-09-05T11:00:00.000Z,555,history
IN-WE,2026-09-05T12:00:00.000Z,597,history
IN-WE,2026-09-05T13:00:00.000Z,624,history
IN-WE,2026-09-05T14:00:00.000Z,631,history
IN-WE,2026-09-05T14:00:00.000Z,660,forecast
IN-WE,2026-09-05T15:00:00.000Z,665,forecast
IN-WE,2026-09-05T16:00:00.000Z,670,forecast
IN-WE,2026-09-05T17:00:00.000Z,673,forecast
IN-WE,2026-09-05T18:00:00.000Z,677,forecast
IN-WE,2026-09-05T19:00:00.000Z,679,forecast
IN-WE,2026-09-05T20:00:00.000Z,680,forecast
IN-WE,2026-09-05T21:00:00.000Z,682,forecast
IN-WE,2026-09-05T22:00:00.000Z,687,forecast
IN-WE,2026-09-05T23:00:00.000Z,690,forecast
IN-WE,2026-09-06T00:00:00.000Z,691,forecast
IN-WE,2026-09-06T01:00:00.000Z,677,forecast
IN-WE,2026-09-06T02:00:00.000Z,637,forecast
IN-WE,2026-09-06T03:00:00.000Z,582,forecast
IN-WE,2026-09-06T04:00:00.000Z,548,forecast
IN-WE,2026-09-06T05:00:00.000Z,520,forecast
IN-WE,2026-09-06T06:00:00.000Z,516,forecast
IN-WE,2026-09-06T07:00:00.000Z,517,forecast
IN-WE,2026-09-06T08:00:00.000Z,517,forecast
IN-WE,2026-09-06T09:00:00.000Z,532,forecast
IN-WE,2026-09-06T10:00:00.000Z,546,forecast
IN-WE,2026-09-06T11:00:00.000Z,580,forecast
IN-WE,2026-09-06T12:00:00.000Z,622,forecast
IN-WE,2026-09-06T13:00:00.000Z,649,forecast
IN-WE,2026-09-06T14:00:00.000Z,657,forecast
